"NR"	"Country"	"Gender"	"Age"	"LiveArea"	"Car"	"Bedroom"	"Travel"	"Computer"	"Wealth"	"ZPop"	"ZLike"	"SE"	"DASS"	"Depress"	"Anxiety"	"Stress"	"PopSelf"	"LikeSelf"	"Tobacco1"	"Tobacco2"	"Tobacco3"	"Tobacco4"	"Tobacco5"	"Alcohol1"	"Alcohol2"	"Alcohol3"	"Alcohol4"	"Drugs1"	"Drugs2"	"Drugs3"	"Drugs4"	"Sex1"	"Sex2"	"Sex3"	"Sex4"	"Sex5"	"Sex7"	"Sex8"	"Aggro1"	"Aggro2"	"Zfriend"	"Zattrac"	"Zcheers"	"Zhelpful"	"Zsports"	"Zwell"	"Znice"	"Zleader"	"Ztough"	"Zexclude"	"Zbullies"	"Zgossips"	"Zmean"	"ZSex3"	"ZSex4"	"ZTob3"	"ZTob4"	"ZAlc3"	"ZAlc4"	"ZMar1"	"AvrSex"	"AvrTob"	"AvrAlc"	"risksum"
"11"	10	"Austria"	"Male"	18	"Suburban"	"One"	"Yes"	"Once"	"More than two"	"Quite well off"	0.25377862682773	-0.818842133307068	3	1.14285714285714	1.14285714285714	1	1.28571428571429	"3"	"3"	"No"	"never"	"0 days"	"I did not smoke"	0	"0 days"	"never"	"0 days"	"0 days"	"0 times"	"never"	"0 times"	NA	"No"	0	0	"Not during the past 3 months"	NA	"No"	0	"0 times"	"0 times"	-0.249470776244272	-0.492838335864868	-0.0176424591279392	-0.149707021320226	-0.228239470421439	-0.870318375722259	-0.28835200841696	-0.667242272739815	-0.277553508552948	-0.530257949187039	0.413629625897266	0.287370945652163	0.771773177661274	-0.601262712649585	-0.628169316451447	-0.547869962242889	-0.609377217664477	-1.53335290625397	-0.985924441899172	-0.541969755678248	-0.614716014550516	-0.578623589953683	-1.25963867407657	-2.99494803425902
"12"	10	"Austria"	"Female"	18	"Urban"	"One"	"No"	"Once"	"More than two"	"Average"	-0.135141064034197	0.205591605256568	2.4	1.33333333333333	1.85714285714286	1	1.14285714285714	"3"	"5"	"Yes"	"8 years old or younger"	"0 days"	"I did not smoke"	0	"0 days"	"never"	"0 days"	"0 days"	"0 times"	"never"	"0 times"	"0 times"	"No"	0	0	"Not during the past 3 months"	NA	"No"	0	"0 times"	"0 times"	-0.817083777394078	-0.415969083557351	-0.26104829840322	-0.581967465917865	-0.609074469763015	-0.668099553023691	-0.368122287686563	-0.628186302242455	-0.134576561472406	0.160912576086697	-0.460646417495262	-0.577350269189626	-0.446013664183957	-0.601262712649585	-0.628169316451447	-0.547869962242889	-0.609377217664477	-1.53335290625397	-0.985924441899172	-0.541969755678248	-0.614716014550516	-0.578623589953683	-1.25963867407657	-2.99494803425902
"13"	15	NA	"Male"	15	"Rural"	"Two or more"	"Yes"	"Once"	"Two"	"Average"	-0.845197876078685	0.0226219103229596	2.6	1.0952380952381	1.14285714285714	1	1.14285714285714	"Almost nobody"	"3"	"No"	"never"	"0 days"	"I did not smoke"	0	"0 days"	"never"	"0 days"	"0 days"	"0 times"	"never"	"0 times"	"0 times"	"No"	0	0	"Not during the past 3 months"	NA	"No"	0	"0 times"	"0 times"	1.33729569967146	-0.736949225348137	-0.982645668398055	-0.971005425998676	-0.70727395830499	-0.811610403368268	-1.09678484636818	-0.618296366917259	-0.323310403056782	-0.754870341052729	-0.524680031103033	-0.904730346845336	-0.593732909952238	-0.601262712649585	-0.628169316451447	-0.547869962242889	-0.609377217664477	-1.53335290625397	-0.985924441899172	-0.541969755678248	-0.614716014550516	-0.578623589953683	-1.25963867407657	-2.99494803425902
"14"	15	"Austria"	"Male"	17	"Small town"	"No"	"Yes"	"Not at all"	"More than two"	"Not very well off"	-2.264450114913	-0.548235321192666	2	1.80952380952381	2	1.71428571428571	1.71428571428571	"Almost nobody"	"3"	"No"	"never"	"0 days"	"I did not smoke"	0	"0 days"	"never"	"0 days"	"0 days"	"0 times"	"never"	"0 times"	NA	"No"	0	0	"Not during the past 3 months"	NA	NA	NA	"0 times"	"0 times"	-1.32923589950608	-0.821551668610678	-1.02879551627444	-0.951608135635385	-0.695613498211548	-0.603009767234165	-1.07697471666784	-0.812539006297297	-0.667876334710347	0	0.303687583562275	-0.884639730000892	-0.758871876420977	-0.601262712649585	-0.628169316451447	-0.547869962242889	-0.609377217664477	-1.53335290625397	-0.985924441899172	-0.541969755678248	-0.614716014550516	-0.578623589953683	-1.25963867407657	-2.99494803425902
"15"	15	"Austria"	"Female"	16	"Rural"	"Two or more"	"Yes"	"Twice"	"More than two"	"Quite well off"	-2.38420151315463	-2.21546629896626	2.6	1.38095238095238	1.57142857142857	1	1.57142857142857	"2"	"6"	"No"	"never"	"0 days"	"I did not smoke"	0	"0 days"	"never"	"0 days"	"0 days"	"0 times"	"never"	"0 times"	NA	"No"	0	0	"Not during the past 3 months"	NA	"No"	0	"0 times"	"0 times"	-2.05813390401525	-0.748058188366317	-0.0176424591279392	-0.149707021320226	-0.757755041799176	1.33811450267297	-0.728468231790213	-0.667242272739815	-0.814156958421981	-0.530257949187039	-0.0306392315479455	-0.506320237577621	-0.598517974512825	-0.601262712649585	-0.628169316451447	-0.547869962242889	-0.609377217664477	-1.53335290625397	-0.985924441899172	-0.541969755678248	-0.614716014550516	-0.578623589953683	-1.25963867407657	-2.99494803425902
"16"	19	NA	"Female"	15	"Rural"	"Two or more"	"Yes"	"More than twice"	"More than two"	"Average"	-2.56376731756296	-1.77365792282568	2.9	1.23809523809524	1.28571428571429	1.14285714285714	1.28571428571429	NA	NA	"No"	"never"	"0 days"	"I did not smoke"	0	"0 days"	"never"	"0 days"	"0 days"	"0 times"	"never"	"0 times"	"0 times"	"No"	0	0	"Not during the past 3 months"	NA	"No"	0	"2 or 3 times"	"0 times"	-1.69985540908394	-0.94404005165825	-1.05589914948117	-0.774679950251212	-0.558156305651438	-0.708800051784012	-1.47402197036552	-0.17089093631991	-0.920892322051566	1.91345949293976	-0.76242638944985	-0.714407487237226	-0.779863535820802	-0.601262712649585	-0.628169316451447	-0.547869962242889	-0.609377217664477	-1.53335290625397	-0.985924441899172	-0.541969755678248	-0.614716014550516	-0.578623589953683	-1.25963867407657	-2.99494803425902
"17"	20	"Austria"	"Male"	17	"Suburban"	"Two or more"	"Yes"	"Twice"	"Two"	"Quite well off"	-0.667859795018724	0.628393590804537	3.8	1.23809523809524	1.28571428571429	1.28571428571429	1.14285714285714	"4"	"6"	"No"	"never"	"0 days"	"I did not smoke"	0	"0 days"	"never"	"0 days"	"0 days"	"0 times"	"never"	"0 times"	NA	"No"	0	0	"Not during the past 3 months"	NA	NA	NA	"0 times"	"0 times"	0.183714904896926	-0.561475722912579	-0.752191732102862	-0.964384695825409	0.982114755456546	-0.764770292068902	-0.622709584130509	-0.66168020389668	-0.629288243725152	-0.435770406107013	-0.349127157293583	-0.846571352418774	-0.587605960347241	-0.601262712649585	-0.628169316451447	-0.547869962242889	-0.609377217664477	-1.53335290625397	-0.985924441899172	-0.541969755678248	-0.614716014550516	-0.578623589953683	-1.25963867407657	-2.99494803425902
"18"	24	NA	"Male"	15	"Small town"	"Two or more"	"Yes"	"Once"	"More than two"	"Quite well off"	-0.529424431913407	-0.484107232773198	2.9	1.23809523809524	1.28571428571429	1	1.42857142857143	"4"	"5"	"No"	"never"	"0 days"	"I did not smoke"	0	"0 days"	"never"	"0 days"	"0 days"	"0 times"	"never"	"0 times"	"0 times"	"No"	0	0	"Not during the past 3 months"	NA	"No"	0	"0 times"	"0 times"	-0.539652325678503	-0.774402618493893	-0.387405803059554	0.262150594426557	-0.639845018855959	1.00877511144003	-0.0304334342763414	0.645532593109847	0.091848543536546	0.830101393193245	0.117687363806142	-0.88	1.27155106278244	-0.601262712649585	-0.628169316451447	-0.547869962242889	-0.609377217664477	-1.53335290625397	-0.985924441899172	-0.541969755678248	-0.614716014550516	-0.578623589953683	-1.25963867407657	-2.99494803425902
"19"	24	"Austria"	"Male"	17	"Urban"	"One"	"Yes"	"Once"	"More than two"	"Quite well off"	-0.823226980982281	-0.0490764058863387	3	1.33333333333333	1.28571428571429	1.57142857142857	1.14285714285714	"2"	"4"	"Yes"	"11 or 12 years old"	"0 days"	"I did not smoke"	0	"0 days"	"never"	"0 days"	"0 days"	"0 times"	"never"	"0 times"	"0 times"	"No"	0	0	"Not during the past 3 months"	NA	"No"	0	"0 times"	"0 times"	0.204270944348519	-0.681481264551404	-1.13120929308062	-0.581967465917865	-0.0819907940065597	2.41543684554719	0.368122287686563	-0.628186302242455	-0.134576561472406	-0.643650304346789	-0.460646417495262	-0.577350269189626	0.390261956160962	-0.601262712649585	-0.628169316451447	-0.547869962242889	-0.609377217664477	-1.53335290625397	-0.985924441899172	-0.541969755678248	-0.614716014550516	-0.578623589953683	-1.25963867407657	-2.99494803425902
"20"	27	"Austria"	"Male"	17	"Small town"	"Two or more"	"Yes"	"Twice"	"More than two"	"Quite well off"	-1.26982275080079	-0.567248958456333	3	1.14285714285714	1.14285714285714	1.14285714285714	1.14285714285714	"2"	"6"	"No"	"never"	"0 days"	"I did not smoke"	0	"0 days"	"never"	"0 days"	"0 days"	"0 times"	"never"	"0 times"	NA	"No"	0	0	"Not during the past 3 months"	NA	"No"	0	"0 times"	"0 times"	0.0846603524556721	-0.669998478894839	0.261820836103473	0.809563087643167	-0.721179596081921	-0.464394828580593	0.0603622952247822	-0.462918991465939	-0.731413457453147	-0.493394556860665	-0.608390041232258	-0.361521009439879	-0.581066098952238	-0.601262712649585	-0.628169316451447	-0.547869962242889	-0.609377217664477	-1.53335290625397	-0.985924441899172	-0.541969755678248	-0.614716014550516	-0.578623589953683	-1.25963867407657	-2.99494803425902
"21"	29	"Austria"	"Female"	18	"Small town"	"One"	"Yes"	"Once"	"More than two"	"Quite well off"	-1.83960936546929	-0.124389159056454	2.8	1.28571428571429	1.28571428571429	1.28571428571429	1.28571428571429	"5"	"4"	"No"	"never"	"0 days"	"I did not smoke"	0	"0 days"	"never"	"0 days"	"0 days"	"0 times"	"never"	"0 times"	NA	"No"	0	0	"Not during the past 3 months"	NA	"No"	0	"0 times"	"0 times"	-1.20342308249716	-0.601271708186267	-0.252861046172085	-0.803071254075286	-0.311285608888844	0.555120887951921	-0.479548576451898	-0.545557493508617	-0.58404550758445	-0.727502737511675	0.441348925448605	-0.157740056045561	-0.224927454455635	-0.601262712649585	-0.628169316451447	-0.547869962242889	-0.609377217664477	-1.53335290625397	-0.985924441899172	-0.541969755678248	-0.614716014550516	-0.578623589953683	-1.25963867407657	-2.99494803425902
"22"	28	"Austria"	"Female"	18	"Urban"	"No"	"Yes"	"Not at all"	"More than two"	"Quite well off"	0.577496946365306	0.615451567104567	3.5	1.0952380952381	1.28571428571429	1	1	"4"	"Almost everybody"	"Yes"	"never"	"0 days"	"I did not smoke"	0	"0 days"	"15 or 16 years old"	"1 or 2 days"	"1 day"	"0 times"	"never"	"0 times"	"0 times"	"No"	0	0	"Not during the past 3 months"	NA	"No"	0	"0 times"	"0 times"	-0.817083777394078	0.911591821412918	2.34943468562898	1.60041053127413	-0.43337991117753	-0.411138186476118	0.368122287686563	-0.628186302242455	-0.134576561472406	-0.643650304346789	-0.460646417495262	-0.577350269189626	-0.446013664183957	-0.601262712649585	-0.628169316451447	-0.547869962242889	-0.609377217664477	-0.726536324691018	-0.28268983997817	-0.541969755678248	-0.614716014550516	-0.578623589953683	-0.504613082334594	-2.23992244251704
"23"	2	NA	"Male"	16	"Urban"	"Two or more"	"Yes"	"More than twice"	"Two"	"Quite well off"	-0.700662009727001	-0.565887628651389	3.4	1.04761904761905	1	1.14285714285714	1	"5"	"4"	"No"	"never"	"0 days"	"I did not smoke"	0	"1 or 2 days"	"9 or 10 years old"	"0 days"	"0 days"	"0 times"	"never"	"0 times"	"0 times"	"No"	0	0	"Not during the past 3 months"	NA	"No"	0	"0 times"	"0 times"	-0.904534033733291	-1.07044057111805	-0.485722652066702	-0.600810170770711	-1.08361841355545	0.747188135846086	-0.675933489404553	-0.161848420776153	-0.879274703131446	-0.548971641356545	-0.0649630830746201	-0.826208625877331	-0.511016371298107	-0.601262712649585	-0.628169316451447	-0.547869962242889	-0.609377217664477	-1.53335290625397	-0.985924441899172	-0.541969755678248	-0.614716014550516	-0.578623589953683	-1.25963867407657	-2.99494803425902
"24"	2	"Austria"	"Male"	16	"Rural"	"One"	"Yes"	"More than twice"	"More than two"	"Average"	-0.400414758729637	0.564334112954495	3	1.28571428571429	1.28571428571429	1.14285714285714	1.42857142857143	"2"	"6"	"No"	"never"	"0 days"	"I did not smoke"	0	"1 or 2 days"	"9 or 10 years old"	"0 days"	"0 days"	"0 times"	"never"	"0 times"	"0 times"	"No"	0	0	"Not during the past 3 months"	NA	"No"	0	"0 times"	"0 times"	0.99442334489783	-0.778460947081868	0.975419688930773	0.367290463547949	-0.952123455734668	-0.679237540455205	1.47307695801176	-0.57641039128353	-0.768004237276446	-0.710174503968536	-0.427220648514889	-0.708604361645309	0.909751457599402	-0.601262712649585	-0.628169316451447	-0.547869962242889	-0.609377217664477	-1.53335290625397	-0.985924441899172	-0.541969755678248	-0.614716014550516	-0.578623589953683	-1.25963867407657	-2.99494803425902
"25"	3	"Austria"	"Female"	16	"Large town"	"One"	"Yes"	"More than twice"	"More than two"	"Very well off"	-0.250098234075516	-1.15428283729546	3.7	1.19047619047619	1.14285714285714	1.42857142857143	1	"2"	"6"	"Yes"	"never"	"0 days"	"I did not smoke"	2	"1 or 2 days"	"9 or 10 years old"	"0 days"	"0 days"	"0 times"	"never"	"0 times"	"0 times"	"No"	0	0	"Not during the past 3 months"	NA	"No"	0	"0 times"	"0 times"	0.483358508911303	-0.210480179561413	0.9273649724164	0.935879075542237	-0.55267921775712	-0.179018524647643	0.676239938372828	0.453755548971217	-0.31636247433648	-0.811844140885989	-0.708604361645309	0.79505595987422	0.0542051340300697	-0.601262712649585	-0.628169316451447	-0.547869962242889	-0.609377217664477	-1.53335290625397	-0.985924441899172	-0.541969755678248	-0.614716014550516	-0.578623589953683	-1.25963867407657	-2.99494803425902
"26"	3	"Austria"	"Female"	16	"Urban"	"One"	"Yes"	"More than twice"	"More than two"	"Quite well off"	-1.33890449650782	0.166214661827686	3.3	1.42857142857143	1.14285714285714	1.42857142857143	1.71428571428571	"Almost nobody"	"3"	"No"	"never"	"0 days"	"I did not smoke"	0	"1 or 2 days"	"9 or 10 years old"	"0 days"	"0 days"	"0 times"	"never"	"0 times"	"0 times"	"Yes"	3	2	"1 person"	0	"Yes"	2	"0 times"	"0 times"	-0.249470776244272	-0.492838335864868	1.5172514850028	1.58689442599439	3.47836952922272	2.91556655866957	1.47211288507606	0.0117060047849091	-0.814156958421981	-0.530257949187039	-0.474908088993157	-0.903165829192513	-0.598517974512825	0.981213742792972	0.978035771183899	-0.547869962242889	-0.609377217664477	-1.53335290625397	-0.985924441899172	-0.541969755678248	0.979624756988435	-0.578623589953683	-1.25963867407657	-1.40060726272007
"27"	4	"Austria"	"Female"	16	"Urban"	"One"	"Yes"	"Not at all"	"More than two"	"Quite well off"	-1.72281005323792	0.922622965798944	3	1.0952380952381	1.14285714285714	1.14285714285714	1	"3"	"5"	"No"	"never"	"0 days"	"I did not smoke"	0	"1 or 2 days"	"9 or 10 years old"	"0 days"	"0 days"	"0 times"	"never"	"0 times"	NA	"No"	0	0	"Not during the past 3 months"	NA	"No"	0	"0 times"	"0 times"	-1.58448752179176	-0.594766854829071	0.152757198523374	0.070589077550396	-0.691682300779461	0.0503994011196403	0.624058043171468	-0.562618405661395	-0.407238137205957	-0.748097000934383	-0.670531433342819	-0.199104197842029	-0.340573551815335	-0.601262712649585	-0.628169316451447	-0.547869962242889	-0.609377217664477	-1.53335290625397	-0.985924441899172	-0.541969755678248	-0.614716014550516	-0.578623589953683	-1.25963867407657	-2.99494803425902
"28"	7	NA	"Male"	16	"Urban"	"One"	"Yes"	"Twice"	"One"	"Very well off"	0.579898535791577	0.408163902048143	3.3	1.52380952380952	1.28571428571429	1.28571428571429	2	"4"	"Almost everybody"	"No"	"never"	"0 days"	"I did not smoke"	0	"1 or 2 days"	"9 or 10 years old"	"0 days"	"0 days"	"0 times"	"never"	"0 times"	"0 times"	"No"	0	0	"Not during the past 3 months"	NA	"No"	0	"6 or 7 times"	"1 times"	0.253954035613413	1.53724698895056	0.357605356670358	-0.466045501202768	2.37391775111776	-0.513083892887602	-0.410851362730608	-0.182073295492521	1.73200110668915	1.31271848225909	0.853233387594532	-0.88	0.476831648543416	-0.601262712649585	-0.628169316451447	-0.547869962242889	-0.609377217664477	-1.53335290625397	-0.985924441899172	-0.541969755678248	-0.614716014550516	-0.578623589953683	-1.25963867407657	-2.99494803425902
"29"	8	"Austria"	"Female"	16	"Rural"	"Two or more"	"Yes"	"Twice"	"More than two"	"Very well off"	-0.142024843243775	0.98907288804642	3.7	1.28571428571429	1	1.42857142857143	1.42857142857143	"2"	"6"	"No"	"never"	"0 days"	"I did not smoke"	0	"1 or 2 days"	"9 or 10 years old"	"0 days"	"0 days"	"0 times"	"never"	"0 times"	NA	"No"	0	0	"Not during the past 3 months"	NA	NA	NA	"0 times"	"0 times"	0.483358508911303	0.807972302187361	2.66617429569715	3.53117399091147	0.161992184515018	3.21291141604454	3.43129153915102	0.770329187788346	-0.667876334710347	0.811844140885989	0.303687583562275	-0.54870059202587	0.0542051340300697	-0.601262712649585	-0.628169316451447	-0.547869962242889	-0.609377217664477	-1.53335290625397	-0.985924441899172	-0.541969755678248	-0.614716014550516	-0.578623589953683	-1.25963867407657	-2.99494803425902
"30"	12	NA	"Male"	15	"Rural"	"One"	"Yes"	"Twice"	"One"	"Quite well off"	0.408199024163026	0.191787699015211	2.8	1.38095238095238	1.14285714285714	1.14285714285714	1.85714285714286	"6"	"6"	"No"	"never"	"0 days"	"I did not smoke"	0	"1 or 2 days"	"15 or 16 years old"	"0 days"	"0 days"	"0 times"	"never"	"0 times"	"0 times"	"No"	0	0	"Not during the past 3 months"	NA	"No"	0	"0 times"	"0 times"	1.28778080974277	-0.666666666666667	-0.122011467922319	-0.345547370232544	1.33582978508392	-0.172211680048416	-0.235679530055486	-0.155550754680424	-0.612056372482123	0.170647470285191	-0.517808705018716	0.186352203822751	-0.711321306412566	-0.601262712649585	-0.628169316451447	-0.547869962242889	-0.609377217664477	-1.53335290625397	-0.985924441899172	-0.541969755678248	-0.614716014550516	-0.578623589953683	-1.25963867407657	-2.99494803425902
